galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
9284618877979,53.158808,-27.6154746,20.6175794,galaxySED/Burst.40E09.04Z.spec.gz,0.86,sersic2d,0.740749121,0.508698821,186.370071,1,9067010623
9343048839195,52.7937229,-27.4787565,22.9008409,galaxySED/Burst.32E09.04Z.spec.gz,1.04,sersic2d,0.764110804,0.740266502,50.6516037,1,9124071132
9343048840219,52.7940026,-27.4787298,22.6399001,galaxySED/Burst.32E09.04Z.spec.gz,1.04,sersic2d,0.764110804,0.740266502,50.6516037,1,9124071133
10732892721179,53.3095412,-27.5705119,22.0796439,galaxySED/Const.20E09.1Z.spec.gz,1.63,sersic2d,0.431937814,0.0918715969,108.385674,1,10481340548
10732892722203,53.309867,-27.5705147,20.8820187,galaxySED/Const.20E09.1Z.spec.gz,1.63,sersic2d,0.431937814,0.0918715969,108.385674,1,10481340549
11289805434907,53.2022062,-27.4866718,22.5236943,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.753106475,0.266616404,59.2486,1,11025200620
11289805435931,53.2015207,-27.4865858,22.1734751,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.753106475,0.266616404,59.2486,1,11025200621
11289805436955,53.2020838,-27.4861914,20.4043183,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.753106475,0.266616404,59.2486,1,11025200622
11289805437979,53.2021856,-27.4862285,20.2697877,galaxySED/Burst.16E09.02Z.spec.gz,0.86,sersic2d,0.753106475,0.266616404,59.2486,1,11025200623
11399077867547,53.0425478,-27.3549498,21.9508217,galaxySED/Exp.16E09.1Z.spec.gz,3.26,sersic2d,1.51616764,1.15010285,22.0282478,1,11131911980
11399077868571,53.0424059,-27.3547367,22.064886,galaxySED/Exp.16E09.1Z.spec.gz,3.26,sersic2d,1.51616764,1.15010285,22.0282478,1,11131911981
12729785565211,52.9252951,-27.5212805,22.5677186,galaxySED/Inst.16E09.04Z.spec.gz,1.15,sersic2d,0.472487599,0.179618105,18.7679062,1,12431431216
12729785566235,52.9251572,-27.5209601,21.9898329,galaxySED/Inst.16E09.04Z.spec.gz,1.15,sersic2d,0.472487599,0.179618105,18.7679062,1,12431431217
13159835463707,53.2124703,-27.3367656,20.8914655,galaxySED/Const.20E09.1Z.spec.gz,1.92,sersic2d,0.535217404,0.126048297,6.81444788,1,12851401820
13159835464731,53.2121765,-27.3366349,20.5923906,galaxySED/Const.20E09.1Z.spec.gz,1.92,sersic2d,0.535217404,0.126048297,6.81444788,1,12851401821
13159835465755,53.2127649,-27.3364613,20.8491116,galaxySED/Const.20E09.1Z.spec.gz,1.92,sersic2d,0.535217404,0.126048297,6.81444788,1,12851401822
