galid,ra,dec,mag,sed_name,z,catsim_id,twinkles_system,twinkles_img_num
3770358276124,53.1623008,-27.4350777,20.5983604,agnSED/agn.spec.gz,0.91,3681990504,126,0
3770358277148,53.162553,-27.435073,21.9802869,agnSED/agn.spec.gz,0.91,3681990505,126,1
4190905962524,53.06131,-27.5833915,22.0958172,agnSED/agn.spec.gz,1.57,4092681604,401,0
4190905963548,53.061363,-27.5832491,23.0576849,agnSED/agn.spec.gz,1.57,4092681605,401,1
4388301025308,52.9708861,-27.2619857,20.4103838,agnSED/agn.spec.gz,0.49,4285450220,55,0
4388301026332,52.970482,-27.2618393,22.7214213,agnSED/agn.spec.gz,0.49,4285450221,55,1
4462111924252,52.9147854,-27.4641464,22.2757596,agnSED/agn.spec.gz,1.31,4357531176,294,0
4462111925276,52.9147868,-27.4639729,21.6034292,agnSED/agn.spec.gz,1.31,4357531177,294,1
4951706099740,53.1429386,-27.6897325,22.9747901,agnSED/agn.spec.gz,1.42,4835650488,122,0
4951706100764,53.1432006,-27.6896478,22.5020611,agnSED/agn.spec.gz,1.42,4835650489,122,1
4951788404764,53.2570454,-27.2711342,21.3155086,agnSED/agn.spec.gz,1.49,4835730864,216,0
4951788405788,53.25657,-27.2708058,21.3971726,agnSED/agn.spec.gz,1.49,4835730865,216,1
4951788406812,53.2573799,-27.2705745,22.202938,agnSED/agn.spec.gz,1.49,4835730866,216,2
4951788407836,53.2566817,-27.270299,21.3952584,agnSED/agn.spec.gz,1.49,4835730867,216,3
6895647969308,53.1820416,-27.3504859,23.0492098,agnSED/agn.spec.gz,1.33,6734031220,305,0
6895647970332,53.1818128,-27.35028,21.7852526,agnSED/agn.spec.gz,1.33,6734031221,305,1
7297218994204,52.9008526,-27.2822603,20.0941268,agnSED/agn.spec.gz,0.55,7126190424,106,0
7297218995228,52.9006573,-27.2821694,20.0756011,agnSED/agn.spec.gz,0.55,7126190425,106,1
7323228532764,53.0651353,-27.4797751,21.5242921,agnSED/agn.spec.gz,0.61,7151590364,91,0
7323228533788,53.0652314,-27.479428,23.4237658,agnSED/agn.spec.gz,0.61,7151590365,91,1
7911066005532,53.1364801,-27.5111054,23.4789865,agnSED/agn.spec.gz,1.18,7725650396,99,0
7911066006556,53.1366863,-27.5110816,21.7145694,agnSED/agn.spec.gz,1.18,7725650397,99,1
9284618874908,53.1588286,-27.6159179,22.8992638,agnSED/agn.spec.gz,0.86,9067010620,155,0
9284618875932,53.1581423,-27.6158318,22.5840994,agnSED/agn.spec.gz,0.86,9067010621,155,1
9284618876956,53.158706,-27.6154374,20.8739029,agnSED/agn.spec.gz,0.86,9067010622,155,2
9284618877980,53.158808,-27.6154746,20.7393145,agnSED/agn.spec.gz,0.86,9067010623,155,3
9343048839196,52.7937229,-27.4787565,22.2314832,agnSED/agn.spec.gz,1.04,9124071132,283,0
9343048840220,52.7940026,-27.4787298,22.0338174,agnSED/agn.spec.gz,1.04,9124071133,283,1
10375599972380,53.1355905,-27.1720103,23.4615141,agnSED/agn.spec.gz,2.47,10132421848,462,0
10375599973404,53.1350794,-27.1719163,22.9923148,agnSED/agn.spec.gz,2.47,10132421849,462,1
10732892721180,53.3095412,-27.5705119,23.4826973,agnSED/agn.spec.gz,1.63,10481340548,137,0
10732892722204,53.309867,-27.5705147,22.409484,agnSED/agn.spec.gz,1.63,10481340549,137,1
11289805434908,53.2022062,-27.4866718,23.5628981,agnSED/agn.spec.gz,0.86,11025200620,155,0
11289805435932,53.2015207,-27.4865858,23.0472438,agnSED/agn.spec.gz,0.86,11025200621,155,1
11289805436956,53.2020838,-27.4861914,21.5204383,agnSED/agn.spec.gz,0.86,11025200622,155,2
11289805437980,53.2021856,-27.4862285,21.3859731,agnSED/agn.spec.gz,0.86,11025200623,155,3
11399077867548,53.0425478,-27.3549498,23.2978471,agnSED/agn.spec.gz,3.26,11131911980,495,0
11399077868572,53.0424059,-27.3547367,23.436663,agnSED/agn.spec.gz,3.26,11131911981,495,1
12729785565212,52.9252951,-27.5212805,23.1622147,agnSED/agn.spec.gz,1.15,12431431216,304,0
12729785566236,52.9251572,-27.5209601,22.6171936,agnSED/agn.spec.gz,1.15,12431431217,304,1
