#detector;R:1,0 S:1,1;62.399995;0.000000;41.999998;82.799987;-19.999999;19.999999;0.200000
#detector;R:1,0 S:0,0;21.999999;-40.399998;2.000000;41.999998;-60.799995;-19.999999;0.200000
#detector;R:0,0 S:1,1;-22.000000;0.000000;-41.999998;-2.000000;-20.400000;20.400000;0.200000
#detector;R:0,0 S:0,0;-62.399993;-40.399995;-82.399987;-42.399995;-60.799993;-19.999997;0.200000
#detector;R:1,0 S:0,2;21.999999;40.399998;2.000000;41.999998;19.999999;60.799995;0.200000
#detector;R:1,0 S:1,0;62.399993;-40.399995;42.399995;82.399987;-60.799993;-19.999997;0.200000
#detector;R:0,0 S:0,2;-62.399993;40.399995;-82.399987;-42.399995;19.999997;60.799993;0.200000
#detector;R:0,0 S:1,0;-21.999999;-40.399998;-42.399998;-1.600000;-60.399995;-20.399999;0.200000
#detector;R:1,0 S:1,2;62.399993;40.399995;42.399995;82.399987;19.999997;60.799993;0.200000
#detector;R:1,0 S:0,1;22.000000;0.000000;2.000000;41.999998;-20.400000;20.400000;0.200000
#detector;R:0,0 S:1,2;-21.999999;40.399998;-41.999998;-2.000000;19.999999;60.799995;0.200000
#detector;R:0,0 S:0,1;-62.399995;0.000000;-82.399987;-42.399998;-20.399999;20.399999;0.200000
#galSimType;uniqueId;raObserved;decObserved;chipName;x_pupil;y_pupil;sedFilepath;majorAxis;minorAxis;sindex;halfLightRadius;positionAngle;fitsFiles;redshift
sersic;2156182734874;1.53804671;-4.8219389;R:0,0 S:1,1;-3.11385348;-2.68741839;galaxySED/Inst.20E09.02Z.spec.gz;6.6172755e-07;4.33782193e-07;4;0.136491105;3.06215162;R:0,0 S:1,1;2.16044307
sersic;2153670557722;1.54145669;-4.82449968;R:1,0 S:0,1;5.1628013;-15.5760187;galaxySED/Burst.25E09.02Z.spec.gz;1.11764052e-06;1.09568425e-06;4;0.230529904;4.6505328;R:1,0 S:0,1;3.64859533
sersic;2159052927002;1.53885447;-4.8228166;None;-0.18005696;-5.8135839;galaxySED/Burst.25E09.02Z.spec.gz;6.77950337e-07;6.71375802e-07;4;0.139837295;5.02683587;R:0,0 S:1,1//R:1,0 S:0,1;3.31914949
sersic;2152317243418;1.55349741;-4.82496333;None;3.59248245;-58.7727206;galaxySED/Inst.10E09.04Z.spec.gz;3.35063318e-06;3.26603765e-06;4;0.691117704;0.734278919;R:1,0 S:0,0//R:0,0 S:1,0;1.67903495
sersic;2165715384346;1.5475838;-4.81737605;R:0,0 S:1,0;-22.0563957;-35.5731572;galaxySED/Inst.16E09.04Z.spec.gz;1.96670675e-06;1.9655185e-06;4;0.405662388;6.06591717;R:0,0 S:1,0;2.20371532
sersic;2151707108378;1.54769475;-4.82032589;R:0,0 S:1,0;-11.4966053;-36.7653238;galaxySED/Exp.62E09.02Z.spec.gz;9.3501264e-07;8.57471552e-07;4;0.192860201;6.2107436;R:0,0 S:1,0;1.11372316
sersic;2155703152666;1.55009656;-4.81920831;R:0,0 S:1,0;-16.1538583;-45.0557903;galaxySED/Inst.25E09.02Z.spec.gz;2.59863867e-06;2.56513705e-06;4;0.536007702;3.07517315;R:0,0 S:1,0;1.45585096
sersic;2152887002138;1.54871267;-4.81865071;R:0,0 S:1,0;-17.7837922;-39.9550132;galaxySED/Inst.25E09.04Z.spec.gz;9.18075661e-07;8.83539452e-07;4;0.189366698;3.53688938;R:0,0 S:1,0;2.869416
sersic;2159592938522;1.5499383;-4.82502594;None;4.77333743;-46.0580688;galaxySED/Inst.20E09.02Z.spec.gz;8.4389625e-07;5.19570455e-07;4;0.174066097;5.65822076;R:1,0 S:0,0;1.61904526
sersic;2151808227354;1.54794752;-4.82309111;R:0,0 S:1,0;-1.63769772;-38.4150611;galaxySED/Inst.25E09.04Z.spec.gz;1.27693907e-06;9.34750832e-07;4;0.263387591;4.59780381;R:1,0 S:0,0//R:0,0 S:1,0;0.873867989
