prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,6116355098,52.7341806,-27.5234272,20.1416573,galaxySED/Inst.20E09.02Z.spec.gz,0.548,0,0,0,0,0,sersic2d,1.04636249e-05,8.22776902e-06,-1.94355502,4,CCM,0.0,3.0999999,CCM,0.0292261373,3.1
object,6304147482,52.9430538,-27.5906674,19.9648861,galaxySED/Burst.40E09.04Z.spec.gz,0.302,0,0,0,0,0,sersic2d,4.37501547e-06,2.827989e-06,-2.55217751,4,CCM,0.0,3.0999999,CCM,0.02492942,3.1
object,6400305178,52.9607364,-27.4866933,21.2348446,galaxySED/Burst.32E09.04Z.spec.gz,0.58,0,0,0,0,0,sersic2d,3.49511862e-06,3.04327667e-06,1.05383155,4,CCM,0.0,3.0999999,CCM,0.0275655209,3.1
object,6545114138,52.7730975,-27.4229755,20.0445675,galaxySED/Inst.40E09.04Z.spec.gz,0.414,0,0,0,0,0,sersic2d,9.98088039e-06,8.09850631e-06,-2.76104106,4,CCM,0.400000006,3.0999999,CCM,0.0292674014,3.1
object,6574688282,52.8930687,-27.1672828,19.6977314,galaxySED/Burst.80E09.04Z.spec.gz,0.37,0,0,0,0,0,sersic2d,4.27940022e-06,3.50874186e-06,1.6743783,4,CCM,0.200000003,3.0999999,CCM,0.0247252613,3.1
object,6584223770,52.8619432,-27.6142904,22.4398388,galaxySED/Inst.40E07.1Z.spec.gz,0.72,0,0,0,0,0,sersic2d,4.83442854e-06,3.65144581e-06,-1.40886136,4,CCM,0.400000006,3.0999999,CCM,0.0265029796,3.1
object,7082771482,53.1677622,-27.68379,21.1959004,galaxySED/Inst.62E09.02Z.spec.gz,0.376,0,0,0,0,0,sersic2d,1.39770408e-06,1.27475076e-06,-0.218275763,4,CCM,0.0,3.0999999,CCM,0.0282289235,3.1
object,7402203162,53.2164351,-27.2605176,21.4313969,galaxySED/Inst.25E09.02Z.spec.gz,0.562,0,0,0,0,0,sersic2d,7.30340909e-06,6.20142764e-06,-2.38953202,4,CCM,0.300000012,3.0999999,CCM,0.0219271813,3.1
object,7691085850,53.0013218,-27.5936542,20.672192,galaxySED/Burst.32E09.02Z.spec.gz,0.46,0,0,0,0,0,sersic2d,4.00061961e-06,3.30742945e-06,-0.40079549,4,CCM,0.400000006,3.0999999,CCM,0.0272171102,3.1
object,8080909338,52.7681072,-27.4312744,22.5939507,galaxySED/Burst.40E09.04Z.spec.gz,1.118,0,0,0,0,0,sersic2d,4.13727976e-06,2.86201085e-06,-1.39049474,4,CCM,0.100000001,3.0999999,CCM,0.0291664478,3.1
object,8103204890,52.8483597,-27.3930307,21.9731487,galaxySED/Exp.62E09.02Z.spec.gz,0.61,0,0,0,0,0,sersic2d,1.68724301e-06,1.07046036e-06,2.70147996,4,CCM,0.300000012,3.0999999,CCM,0.0313103332,3.1
object,8451642394,53.1814089,-27.6720839,21.2348446,galaxySED/Burst.32E09.04Z.spec.gz,0.58,0,0,0,0,0,sersic2d,3.49511862e-06,3.04327667e-06,1.05383155,4,CCM,0.5,3.0999999,CCM,0.0277244518,3.1
