prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv,twinkles_system,twinkles_img_num,lens_galaxy_uID
object,794901005338,53.1286946,-27.5010877,21.7749691,galaxySED/Burst.20E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,1.93743423e-06,1.21800233e-06,3.10744347,4,CCM,0.100000001,3.0999999,CCM,0.0289777738,3.1,128,1,79490074
object,957522223130,52.8529172,-27.2307831,21.3223095,galaxySED/Burst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,4.0442725e-06,3.99987175e-06,3.15319791,4,CCM,0.300000012,3.0999999,CCM,0.0282781287,3.1,74,0,95752218
object,957522224154,52.8532153,-27.2306612,21.3223095,galaxySED/Burst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,4.0442725e-06,3.99987175e-06,3.15319791,4,CCM,0.300000012,3.0999999,CCM,0.0282520423,3.1,74,1,95752218
object,1072506978330,53.2558923,-27.5918026,21.0876694,galaxySED/Inst.50E09.04Z.spec.gz,0.48,0,0,0,0,0,sersic2d,2.56730867e-06,1.6491378e-06,1.09544924,4,CCM,0.200000003,3.0999999,CCM,0.0216084079,3.1,24,0,107250714
object,1072506979354,53.2553468,-27.5914125,21.0876694,galaxySED/Inst.50E09.04Z.spec.gz,0.48,0,0,0,0,0,sersic2d,2.56730867e-06,1.6491378e-06,1.09544924,4,CCM,0.200000003,3.0999999,CCM,0.0216464758,3.1,24,1,107250714
object,1257605247002,53.14141,-27.6883038,21.4003601,galaxySED/Inst.20E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,3.62225972e-06,3.53394715e-06,1.60091828,4,CCM,0.300000012,3.0999999,CCM,0.0291211843,3.1,31,0,125760538
object,1257605248026,53.142099,-27.6880146,21.4003601,galaxySED/Inst.20E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,3.62225972e-06,3.53394715e-06,1.60091828,4,CCM,0.300000012,3.0999999,CCM,0.0291202468,3.1,31,1,125760538
object,1257605249050,53.1421269,-27.6877006,21.4003601,galaxySED/Inst.20E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,3.62225972e-06,3.53394715e-06,1.60091828,4,CCM,0.300000012,3.0999999,CCM,0.0291261058,3.1,31,2,125760538
object,1257605250074,53.1414848,-27.6876057,21.4003601,galaxySED/Inst.20E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,3.62225972e-06,3.53394715e-06,1.60091828,4,CCM,0.300000012,3.0999999,CCM,0.0291340954,3.1,31,3,125760538
object,1302364684314,53.0179663,-27.5841587,21.3014603,galaxySED/Inst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,5.25295001e-06,3.86757483e-06,0.306174176,4,CCM,0.300000012,3.0999999,CCM,0.0279746372,3.1,128,0,130236442
object,1302364685338,53.0179992,-27.5839262,21.3014603,galaxySED/Inst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,5.25295001e-06,3.86757483e-06,0.306174176,4,CCM,0.300000012,3.0999999,CCM,0.0279706479,3.1,128,1,130236442
object,1370163503130,53.2361591,-27.4599774,23.3172894,galaxySED/Exp.80E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,1.40859852e-06,1.40029464e-06,6.16855167,4,CCM,0.0,3.0999999,CCM,0.0202733664,3.1,74,0,137016346
object,1370163504154,53.2364578,-27.4598554,23.3172894,galaxySED/Exp.80E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,1.40859852e-06,1.40029464e-06,6.16855167,4,CCM,0.0,3.0999999,CCM,0.0202509512,3.1,74,1,137016346
object,2098411823130,52.9744219,-27.6449595,22.0894794,galaxySED/Burst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,3.23447474e-06,2.76682383e-06,3.62180427,4,CCM,0.200000003,3.0999999,CCM,0.0281851191,3.1,74,0,209841178
object,2098411824154,52.9747211,-27.6448375,22.0894794,galaxySED/Burst.50E09.04Z.spec.gz,0.66,0,0,0,0,0,sersic2d,3.23447474e-06,2.76682383e-06,3.62180427,4,CCM,0.200000003,3.0999999,CCM,0.0281894173,3.1,74,1,209841178
object,2136914047002,52.8403213,-27.2090802,23.8491802,galaxySED/Inst.50E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.41410265e-06,2.21792468e-06,1.89308356,4,CCM,0.200000003,3.0999999,CCM,0.0288041799,3.1,31,0,213691418
object,2136914048026,52.8410074,-27.208791,23.8491802,galaxySED/Inst.50E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.41410265e-06,2.21792468e-06,1.89308356,4,CCM,0.200000003,3.0999999,CCM,0.0287374859,3.1,31,1,213691418
object,2136914049050,52.8410352,-27.208477,23.8491802,galaxySED/Inst.50E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.41410265e-06,2.21792468e-06,1.89308356,4,CCM,0.200000003,3.0999999,CCM,0.0287073038,3.1,31,2,213691418
object,2136914050074,52.8403958,-27.2083821,23.8491802,galaxySED/Inst.50E09.02Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.41410265e-06,2.21792468e-06,1.89308356,4,CCM,0.200000003,3.0999999,CCM,0.0287363975,3.1,31,3,213691418
object,2379735674906,53.1736042,-27.5307338,21.4028206,galaxySED/Inst.25E09.04Z.spec.gz,0.86,0,0,0,0,0,sersic2d,2.2445089e-06,1.36719252e-06,3.4431059,4,CCM,0.5,3.0999999,CCM,0.0271543745,3.1,155,0,237973530
object,2379735675930,53.1729181,-27.5306501,21.4028206,galaxySED/Inst.25E09.04Z.spec.gz,0.86,0,0,0,0,0,sersic2d,2.2445089e-06,1.36719252e-06,3.4431059,4,CCM,0.5,3.0999999,CCM,0.0271977353,3.1,155,1,237973530
object,2379735676954,53.1734797,-27.5302538,21.4028206,galaxySED/Inst.25E09.04Z.spec.gz,0.86,0,0,0,0,0,sersic2d,2.2445089e-06,1.36719252e-06,3.4431059,4,CCM,0.5,3.0999999,CCM,0.0271486767,3.1,155,2,237973530
object,2379735677978,53.1735817,-27.5302907,21.4028206,galaxySED/Inst.25E09.04Z.spec.gz,0.86,0,0,0,0,0,sersic2d,2.2445089e-06,1.36719252e-06,3.4431059,4,CCM,0.5,3.0999999,CCM,0.0271429286,3.1,155,3,237973530
object,2481019007002,53.1323597,-27.4672185,22.3789997,galaxySED/Burst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.606703e-06,2.04344992e-06,0.791605193,4,CCM,0.200000003,3.0999999,CCM,0.0273555733,3.1,31,0,248101914
object,2481019008026,53.1330473,-27.4669293,22.3789997,galaxySED/Burst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.606703e-06,2.04344992e-06,0.791605193,4,CCM,0.200000003,3.0999999,CCM,0.0273310843,3.1,31,1,248101914
object,2481019009050,53.1330752,-27.4666153,22.3789997,galaxySED/Burst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.606703e-06,2.04344992e-06,0.791605193,4,CCM,0.200000003,3.0999999,CCM,0.0273143133,3.1,31,2,248101914
object,2481019010074,53.1324344,-27.4665204,22.3789997,galaxySED/Burst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.606703e-06,2.04344992e-06,0.791605193,4,CCM,0.200000003,3.0999999,CCM,0.0273181141,3.1,31,3,248101914
object,2488791474202,53.1649456,-27.3732946,21.97859,galaxySED/Burst.50E09.04Z.spec.gz,0.55,0,0,0,0,0,sersic2d,3.45600605e-06,3.12573738e-06,2.00294641,4,CCM,0.200000003,3.0999999,CCM,0.0216956267,3.1,106,0,248879130
object,2488791475226,53.1647498,-27.3732043,21.97859,galaxySED/Burst.50E09.04Z.spec.gz,0.55,0,0,0,0,0,sersic2d,3.45600605e-06,3.12573738e-06,2.00294641,4,CCM,0.200000003,3.0999999,CCM,0.0216889334,3.1,106,1,248879130
object,2798520447002,52.9581344,-27.3798052,21.7441196,galaxySED/Inst.40E09.04Z.spec.gz,0.62,0,0,0,0,0,sersic2d,2.81451366e-06,2.04762325e-06,2.11431754,4,CCM,0.100000001,3.0999999,CCM,0.0295397513,3.1,31,0,279852058
